method,station_ids,selected_stations,selected_edges,cutoff_m,length_km,pair_reward,length_m,construction_weight_per_m,construction_penalty,turn_penalty_weight,turn_excess_squared,turn_penalty,endpoint_count,endpoint_penalty,objective_score,max_turn_deg,penalized_turns
manual_intuition_route,"L1:S020,S017,S001,S031,S005,S012,S009,S006,S011,S044,S013 | L2:S013,S019,S026,S036,S007,S016,S047,S014,S008 | L3:S023,S004,S030,S005,S027,S016,S032,S002 | L4:S049,S015,S041,S050,S029,S021,S018,S043,S003",34,33,8000,63.304047,3244606959193.901367,63304.047070,100000,6330404706.974355,500000000,0.039645,19822617.254042,6,0.000000,3238256731869.673340,92.188704,2
greedy_value_tree,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054",54,53,8000,101.266841,4623358954449.280273,101266.841363,100000,10126684136.269321,500000000,12.000160,6000080032.877548,22,0.000000,4607232190280.132812,173.094675,31
