from_station,to_station,length_km,conductance,flow
S001,S031,1.805,5.249998449,0.260180472
S005,S031,1.666,4.061084398,0.201568849
S004,S030,1.759,3.881910714,0.191179615
S005,S012,1.364,3.854248167,0.190982533
S001,S039,1.915,3.383400990,0.169733204
S003,S014,3.398,3.285465531,0.161337389
S008,S014,1.833,3.136843719,0.153946482
S016,S034,2.196,3.041421156,0.151011557
S009,S012,1.010,2.902448222,0.145789996
S006,S009,1.903,2.763076676,0.137015573
S007,S034,2.816,2.451518659,0.121296709
S025,S030,1.306,2.297452656,0.112928767
S001,S010,1.411,2.176317846,0.106771637
S002,S003,2.804,1.794022071,0.088061914
S008,S039,2.460,1.697505837,0.085523038
S006,S011,1.572,1.225522929,0.060768205
S007,S036,2.165,0.974107743,0.048232346
S010,S025,1.714,0.820258296,0.040033727
S011,S036,3.257,0.542827747,0.027264344
