method,n_stations_selected,total_length_km,runtime_s,num_lines,num_transfer_stations,population_coverage_ratio,direct_od_coverage_ratio,network_od_coverage_ratio,weighted_avg_detour_ratio,weighted_avg_transfer_count,largest_component_station_ratio,average_node_degree,network_efficiency,num_connected_components,num_stations_covered
Laporte-H1,18,59.8,0.05,1,0,0.4885836666666667,0.27875208353135134,0.27875208353135134,1.6774238016040433,0.0,1.0,1.8888888888888888,0.0002739514261783007,1,18
Laporte-H2A,31,59.9,0.77,1,0,0.6946123333333334,0.5404001060031788,0.5404001060031784,1.582331611325625,0.0,1.0,1.935483870967742,0.000135235154209293,1,31
Laporte-H2C,33,59.6,0.88,1,0,0.6964006666666667,0.5680772198786777,0.5680772198786778,2.186794935076682,0.0,1.0,1.9393939393939394,0.00012266083997019948,1,33
Ahmed-GA-1L,14,37.0,33.5,1,0,0.43976,0.2978558925237025,0.29785589252370254,4.426229303425254,0.0,1.0,1.8571428571428572,0.00020895813819395327,1,14
Ahmed-GA-2L,23,85.7,56.3,2,5,0.619409,0.42461304814028006,0.4888526443379549,1.2322223534402712,0.1314089162485219,1.0,2.260869565217391,0.0003417490691245252,1,23
Ahmed-GA-3L,20,130.8,58.1,3,5,0.47813466666666665,0.2600183424588257,0.3181204120639922,0.13554884041788634,0.18264175262503696,1.0,2.4,0.0002025787776307901,1,20
Greedy-OD,23,57108.8,0.01,3,10,0.6222726666666667,0.5188598014529785,0.5648039477653171,1.2066533905371766,0.08134529953999008,1.0,2.347826086956522,0.00019321088852079337,1,23
Greedy-BCR,10,15700.3,0.01,3,2,0.351777,0.24471613529394665,0.2727233577182879,1.1878636195990289,0.10269462307394844,1.0,1.8,0.0003053742863287151,1,10
GA (line-pool),32,56025.3,0.9,3,2,0.659764,0.3403667541043311,0.4040258215132108,3.613979330377663,0.1575618785216633,0.6875,1.875,9.210027180985806e-05,2,32
