line_id,station_sequence,length,covered_population,direct_od_coverage,construction_cost
L0130,"['S006', 'S009', 'S012', 'S005', 'S031', 'S048', 'S039', 'S014']",11456.313653897398,650633.0,0.13528975094661333,11.456313653897396
L0131,"['S006', 'S011', 'S051', 'S026', 'S028', 'S015']",10058.042659873066,190938.0,0.0028299547197849326,10.058042659873067
L0132,"['S006', 'S009', 'S012', 'S005', 'S027', 'S034', 'S016']",10185.154671084912,653411.0,0.16083501705849956,10.185154671084913
L0133,"['S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S017']",9306.008130351778,886567.0,0.20265800259426267,9.306008130351778
L0134,"['S006', 'S009', 'S012', 'S005', 'S027', 'S034', 'S016', 'S032', 'S018']",13781.947281408131,737853.0,0.17085311167159473,13.78194728140813
L0135,"['S006', 'S011', 'S044', 'S019']",4662.104458379297,122895.0,0.0014092871209244546,4.662104458379297
L0136,"['S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S020']",11051.530478645847,873473.0,0.16231982489373406,11.051530478645848
L0137,"['S007', 'S034', 'S016', 'S047', 'S008']",9803.519009348689,339418.0,0.003358184468253851,9.803519009348689
L0138,"['S007', 'S034', 'S027', 'S005', 'S012', 'S009']",8901.603033579468,582720.0,0.13781800360052252,8.901603033579468
L0139,"['S007', 'S034', 'S027', 'S031', 'S010']",8608.386800973083,174502.0,0.008183631601626263,8.608386800973083
L0140,"['S007', 'S036', 'S026', 'S051', 'S011']",7738.013694983552,63904.0,0.0,7.738013694983552
L0141,"['S007', 'S034', 'S027', 'S005', 'S012']",7890.9658531071955,370755.0,0.025439520080223786,7.890965853107196
L0142,"['S007', 'S036', 'S026', 'S051', 'S013']",7859.879878225071,63904.0,0.0,7.859879878225071
L0143,"['S007', 'S034', 'S016', 'S047', 'S014']",8049.216856534755,166608.0,0.0016794440101818055,8.049216856534755
L0144,"['S007', 'S037', 'S052', 'S041', 'S015']",7642.118307947407,190097.0,0.004597043122357514,7.642118307947405
L0145,"['S007', 'S034', 'S027', 'S048', 'S001', 'S017']",9607.689205024928,582160.0,0.07725629266897542,9.607689205024927
L0146,"['S007', 'S037', 'S021', 'S018']",7542.023463405159,138175.0,0.0021662115081100613,7.54202346340516
L0147,"['S007', 'S036', 'S026', 'S051', 'S019']",6933.246946732834,63904.0,0.0,6.933246946732834
L0148,"['S007', 'S034', 'S027', 'S048', 'S039', 'S020']",10761.294395893532,473034.0,0.026478962049797078,10.761294395893534
L0149,"['S008', 'S039', 'S001', 'S010']",5786.4307949196655,522594.0,0.039501065846387635,5.786430794919665
L0150,"['S008', 'S039', 'S048', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011']",12615.929027447197,823443.0,0.1528945898032283,12.615929027447196
L0151,"['S008', 'S039', 'S048', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011', 'S044', 'S013']",15945.727233503705,875647.0,0.159053795001457,15.945727233503705
L0152,"['S008', 'S014', 'S042', 'S032', 'S018', 'S021', 'S029', 'S041', 'S015']",16414.238745433275,702016.0,0.05624784375018862,16.414238745433273
L0153,"['S008', 'S014', 'S042', 'S032', 'S018']",7363.784480649974,436644.0,0.029867711366315535,7.363784480649974
L0154,"['S008', 'S039', 'S048', 'S031', 'S005', 'S012', 'S009', 'S006', 'S011', 'S044', 'S019']",15705.244722200207,875647.0,0.159053795001457,15.705244722200206
L0155,"['S009', 'S012', 'S030', 'S025', 'S010']",5626.609640516328,508001.0,0.11857290923287317,5.626609640516328
L0156,"['S009', 'S006', 'S011', 'S044', 'S013']",6806.263183268664,334860.0,0.0174708023216011,6.806263183268664
L0157,"['S009', 'S006', 'S011', 'S051', 'S026', 'S028', 'S015']",11961.718873458934,402903.0,0.020188261445829386,11.961718873458935
L0158,"['S009', 'S012', 'S005', 'S027', 'S034', 'S016']",8281.478457499044,582720.0,0.13781800360052252,8.281478457499045
L0159,"['S009', 'S012', 'S005', 'S027', 'S034', 'S016', 'S032', 'S018']",11878.271067822263,667162.0,0.14724828180148336,11.878271067822261
L0160,"['S009', 'S006', 'S011', 'S044', 'S019']",6565.780671965165,334860.0,0.0174708023216011,6.565780671965165
L0161,"['S010', 'S025', 'S030', 'S012', 'S009', 'S006', 'S011']",9103.074617728484,578692.0,0.1407459512938477,9.103074617728483
L0162,"['S010', 'S025', 'S030', 'S012']",4615.972460044057,296036.0,0.011233183606549511,4.615972460044057
L0163,"['S010', 'S025', 'S030', 'S012', 'S009', 'S006', 'S011', 'S044', 'S013']",12432.872823784992,630896.0,0.14649343023536754,12.432872823784992
L0164,"['S010', 'S001', 'S039', 'S014']",6199.604184996153,349784.0,0.02080806777679627,6.1996041849961525
L0165,"['S010', 'S031', 'S027', 'S034', 'S007', 'S037', 'S052', 'S041', 'S015']",16250.505108920488,364599.0,0.01740969376089843,16.25050510892049
L0166,"['S010', 'S031', 'S027', 'S034', 'S016']",7988.262224892662,174502.0,0.008183631601626263,7.988262224892662
L0167,"['S010', 'S031', 'S027', 'S034', 'S016', 'S032', 'S018']",11585.05483521588,258944.0,0.012743652519606278,11.585054835215878
L0168,"['S010', 'S025', 'S030', 'S012', 'S009', 'S006', 'S011', 'S044', 'S019']",12192.390312481493,630896.0,0.14649343023536754,12.192390312481493
L0169,"['S011', 'S006', 'S009', 'S012']",4487.102157684427,478909.0,0.11988958887675329,4.4871021576844266
L0170,"['S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S048', 'S039', 'S014']",13029.102417523683,650633.0,0.13528975094661333,13.029102417523685
L0171,"['S011', 'S051', 'S026', 'S028', 'S015']",8485.253896246779,120247.0,0.0014488047327125947,8.485253896246778
L0172,"['S011', 'S006', 'S009', 'S012', 'S005', 'S027', 'S034', 'S016']",11757.9434347112,653411.0,0.16083501705849956,11.757943434711201
L0173,"['S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S017']",10878.796893978066,886567.0,0.20265800259426267,10.878796893978064
L0174,"['S011', 'S051', 'S026', 'S036', 'S037', 'S021', 'S018']",13626.744709559285,202079.0,0.006633794695414607,13.626744709559285
L0175,"['S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S020']",12624.319242272135,873473.0,0.16231982489373406,12.624319242272135
L0176,"['S012', 'S009', 'S006', 'S011', 'S044', 'S013']",7816.900363740935,531113.0,0.12511871916610667,7.816900363740935
