line_id,station_sequence,length,covered_population,direct_od_coverage,construction_cost,_od_pairs
L0341,"['S005', 'S012', 'S030', 'S004', 'S033', 'S025', 'S010', 'S001', 'S020', 'S017', 'S039', 'S008']",21531.311957746995,1374646.0,0.31349462377209086,21.531311957747,"{('S025', 'S033'), ('S001', 'S030'), ('S001', 'S005'), ('S005', 'S008'), ('S005', 'S039'), ('S001', 'S025'), ('S008', 'S039'), ('S005', 'S033'), ('S025', 'S030'), ('S004', 'S008'), ('S004', 'S039'), ('S008', 'S033'), ('S012', 'S020'), ('S010', 'S012'), ('S004', 'S033'), ('S005', 'S010'), ('S005', 'S017'), ('S008', 'S010'), ('S008', 'S017'), ('S004', 'S010'), ('S004', 'S017'), ('S017', 'S020'), ('S010', 'S020'), ('S008', 'S030'), ('S005', 'S030'), ('S001', 'S004'), ('S030', 'S039'), ('S005', 'S025'), ('S004', 'S030'), ('S030', 'S033'), ('S004', 'S005'), ('S001', 'S012'), ('S008', 'S025'), ('S001', 'S020'), ('S012', 'S039'), ('S004', 'S025'), ('S020', 'S039'), ('S012', 'S033'), ('S020', 'S033'), ('S017', 'S039'), ('S012', 'S017'), ('S017', 'S033'), ('S033', 'S039'), ('S010', 'S039'), ('S010', 'S033'), ('S010', 'S017'), ('S005', 'S012'), ('S012', 'S030'), ('S020', 'S030'), ('S008', 'S012'), ('S020', 'S025'), ('S001', 'S008'), ('S017', 'S030'), ('S001', 'S039'), ('S005', 'S020'), ('S004', 'S012'), ('S012', 'S025'), ('S010', 'S030'), ('S001', 'S033'), ('S008', 'S020'), ('S017', 'S025'), ('S001', 'S017'), ('S004', 'S020'), ('S010', 'S025'), ('S001', 'S010'), ('S025', 'S039')}"
L0184,"['S013', 'S044', 'S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S017']",14208.595100034576,938771.0,0.20919728441979044,14.208595100034573,"{('S005', 'S009'), ('S001', 'S013'), ('S012', 'S044'), ('S001', 'S005'), ('S011', 'S017'), ('S006', 'S017'), ('S011', 'S013'), ('S017', 'S044'), ('S006', 'S013'), ('S001', 'S011'), ('S013', 'S017'), ('S031', 'S044'), ('S009', 'S017'), ('S001', 'S031'), ('S005', 'S006'), ('S005', 'S017'), ('S009', 'S013'), ('S005', 'S013'), ('S006', 'S011'), ('S011', 'S031'), ('S001', 'S044'), ('S006', 'S031'), ('S013', 'S031'), ('S009', 'S011'), ('S009', 'S031'), ('S001', 'S012'), ('S005', 'S011'), ('S005', 'S031'), ('S011', 'S044'), ('S006', 'S044'), ('S011', 'S012'), ('S013', 'S044'), ('S009', 'S044'), ('S006', 'S012'), ('S012', 'S017'), ('S005', 'S044'), ('S012', 'S013'), ('S001', 'S009'), ('S009', 'S012'), ('S005', 'S012'), ('S006', 'S009'), ('S012', 'S031'), ('S001', 'S006'), ('S001', 'S017'), ('S017', 'S031')}"
L0290,"['S012', 'S030', 'S033', 'S004', 'S023', 'S046', 'S022', 'S011', 'S006', 'S040', 'S035', 'S009']",21368.93094193505,746135.0,0.19095568636047933,21.368930941935044,"{('S011', 'S033'), ('S006', 'S040'), ('S004', 'S022'), ('S030', 'S046'), ('S006', 'S033'), ('S012', 'S035'), ('S004', 'S009'), ('S009', 'S033'), ('S011', 'S023'), ('S022', 'S040'), ('S009', 'S040'), ('S006', 'S023'), ('S022', 'S033'), ('S011', 'S030'), ('S033', 'S035'), ('S012', 'S046'), ('S004', 'S033'), ('S006', 'S030'), ('S004', 'S040'), ('S022', 'S023'), ('S023', 'S035'), ('S009', 'S023'), ('S033', 'S046'), ('S009', 'S030'), ('S004', 'S006'), ('S006', 'S011'), ('S012', 'S022'), ('S040', 'S046'), ('S022', 'S030'), ('S030', 'S040'), ('S004', 'S023'), ('S023', 'S046'), ('S004', 'S030'), ('S030', 'S033'), ('S009', 'S011'), ('S004', 'S011'), ('S012', 'S033'), ('S012', 'S040'), ('S011', 'S012'), ('S035', 'S046'), ('S011', 'S035'), ('S006', 'S035'), ('S033', 'S040'), ('S006', 'S012'), ('S011', 'S046'), ('S009', 'S035'), ('S006', 'S046'), ('S012', 'S023'), ('S023', 'S033'), ('S023', 'S040'), ('S009', 'S012'), ('S022', 'S035'), ('S012', 'S030'), ('S011', 'S022'), ('S004', 'S035'), ('S009', 'S046'), ('S006', 'S022'), ('S022', 'S046'), ('S004', 'S012'), ('S004', 'S046'), ('S006', 'S009'), ('S023', 'S030'), ('S009', 'S022'), ('S035', 'S040'), ('S011', 'S040'), ('S030', 'S035')}"
L0078,"['S002', 'S043', 'S032', 'S016', 'S034', 'S027', 'S005', 'S012', 'S009', 'S006']",15735.221270707234,822338.0,0.1788249461488866,15.735221270707232,"{('S009', 'S016'), ('S005', 'S016'), ('S005', 'S009'), ('S012', 'S043'), ('S002', 'S005'), ('S006', 'S034'), ('S009', 'S034'), ('S012', 'S027'), ('S032', 'S034'), ('S005', 'S034'), ('S012', 'S032'), ('S005', 'S006'), ('S002', 'S043'), ('S016', 'S043'), ('S016', 'S027'), ('S027', 'S034'), ('S002', 'S027'), ('S012', 'S016'), ('S002', 'S012'), ('S002', 'S032'), ('S016', 'S032'), ('S006', 'S043'), ('S012', 'S034'), ('S006', 'S027'), ('S009', 'S043'), ('S006', 'S012'), ('S032', 'S043'), ('S005', 'S043'), ('S009', 'S027'), ('S002', 'S009'), ('S002', 'S016'), ('S006', 'S032'), ('S009', 'S012'), ('S005', 'S027'), ('S009', 'S032'), ('S005', 'S012'), ('S027', 'S043'), ('S005', 'S032'), ('S002', 'S034'), ('S016', 'S034'), ('S006', 'S009'), ('S002', 'S006'), ('S006', 'S016'), ('S027', 'S032'), ('S034', 'S043')}"
L0322,"['S026', 'S036', 'S007', 'S034', 'S027', 'S031', 'S010', 'S017', 'S001', 'S024', 'S039', 'S008']",22227.580048511783,990598.0,0.17085656953054773,22.227580048511786,"{('S024', 'S039'), ('S010', 'S031'), ('S027', 'S036'), ('S007', 'S010'), ('S007', 'S017'), ('S024', 'S034'), ('S036', 'S039'), ('S001', 'S024'), ('S017', 'S026'), ('S010', 'S026'), ('S026', 'S039'), ('S034', 'S036'), ('S007', 'S024'), ('S026', 'S034'), ('S008', 'S039'), ('S008', 'S034'), ('S001', 'S031'), ('S010', 'S027'), ('S017', 'S027'), ('S007', 'S031'), ('S008', 'S010'), ('S008', 'S017'), ('S001', 'S026'), ('S017', 'S036'), ('S010', 'S036'), ('S031', 'S036'), ('S024', 'S031'), ('S007', 'S026'), ('S027', 'S039'), ('S008', 'S024'), ('S027', 'S034'), ('S001', 'S027'), ('S024', 'S026'), ('S026', 'S031'), ('S034', 'S039'), ('S001', 'S036'), ('S007', 'S027'), ('S008', 'S031'), ('S007', 'S036'), ('S024', 'S027'), ('S008', 'S026'), ('S017', 'S039'), ('S001', 'S007'), ('S024', 'S036'), ('S017', 'S034'), ('S027', 'S031'), ('S010', 'S039'), ('S031', 'S039'), ('S010', 'S034'), ('S031', 'S034'), ('S026', 'S027'), ('S010', 'S017'), ('S008', 'S027'), ('S026', 'S036'), ('S001', 'S008'), ('S001', 'S039'), ('S017', 'S024'), ('S008', 'S036'), ('S001', 'S034'), ('S010', 'S024'), ('S007', 'S008'), ('S007', 'S039'), ('S001', 'S017'), ('S007', 'S034'), ('S001', 'S010'), ('S017', 'S031')}"
L0267,"['S016', 'S042', 'S014', 'S047', 'S008', 'S039', 'S017', 'S001']",14526.696452004533,841888.0,0.15809128906177217,14.526696452004536,"{('S008', 'S042'), ('S017', 'S047'), ('S008', 'S016'), ('S008', 'S039'), ('S016', 'S047'), ('S001', 'S014'), ('S001', 'S047'), ('S008', 'S017'), ('S014', 'S042'), ('S042', 'S047'), ('S014', 'S016'), ('S017', 'S042'), ('S014', 'S039'), ('S039', 'S047'), ('S008', 'S047'), ('S014', 'S017'), ('S008', 'S014'), ('S017', 'S039'), ('S016', 'S042'), ('S001', 'S042'), ('S001', 'S016'), ('S001', 'S008'), ('S001', 'S039'), ('S016', 'S039'), ('S014', 'S047'), ('S016', 'S017'), ('S001', 'S017'), ('S039', 'S042')}"
L0033,"['S009', 'S012', 'S005', 'S027', 'S034', 'S007', 'S037', 'S052', 'S029']",14111.110969830097,799498.0,0.16108758306334858,14.111110969830097,"{('S005', 'S009'), ('S009', 'S029'), ('S009', 'S052'), ('S007', 'S037'), ('S029', 'S034'), ('S005', 'S029'), ('S005', 'S052'), ('S029', 'S037'), ('S009', 'S034'), ('S012', 'S027'), ('S005', 'S034'), ('S009', 'S037'), ('S005', 'S037'), ('S027', 'S029'), ('S027', 'S052'), ('S027', 'S034'), ('S034', 'S052'), ('S027', 'S037'), ('S012', 'S029'), ('S012', 'S052'), ('S007', 'S027'), ('S034', 'S037'), ('S007', 'S012'), ('S012', 'S034'), ('S037', 'S052'), ('S012', 'S037'), ('S009', 'S027'), ('S009', 'S012'), ('S005', 'S012'), ('S005', 'S027'), ('S007', 'S009'), ('S007', 'S029'), ('S007', 'S052'), ('S005', 'S007'), ('S007', 'S034'), ('S029', 'S052')}"
L0177,"['S012', 'S009', 'S006', 'S011', 'S051', 'S026', 'S028', 'S015']",12972.356053931206,599156.0,0.1290614655875214,12.972356053931204,"{('S012', 'S051'), ('S011', 'S028'), ('S006', 'S028'), ('S009', 'S028'), ('S012', 'S015'), ('S026', 'S028'), ('S006', 'S011'), ('S015', 'S028'), ('S009', 'S011'), ('S011', 'S026'), ('S006', 'S026'), ('S028', 'S051'), ('S009', 'S026'), ('S011', 'S051'), ('S011', 'S012'), ('S006', 'S051'), ('S006', 'S012'), ('S015', 'S026'), ('S009', 'S051'), ('S026', 'S051'), ('S011', 'S015'), ('S012', 'S028'), ('S009', 'S012'), ('S006', 'S015'), ('S015', 'S051'), ('S009', 'S015'), ('S006', 'S009'), ('S012', 'S026')}"
