source,target,cost,reason
K01,V06,8.815,exact_mst
V06,V10,15.461,exact_mst
V10,V15,6.204,exact_mst
V15,V03,10.443,exact_mst
V03,V02,5.131,exact_mst
V02,V12,14.604,exact_mst
V03,K03,20.402,exact_mst
K03,V16,22.51,exact_mst
V16,K02,2.953,exact_mst
K02,V13,2.425,exact_mst
V13,V01,14.149,exact_mst
V01,V05,10.801,exact_mst
V05,V11,5.813,exact_mst
V16,V04,16.896,exact_mst
V04,V14,17.305,exact_mst
V14,V08,10.491,exact_mst
V08,V09,15.947,exact_mst
