method,max_section_flow,mean_section_flow,median_section_flow,std_section_flow,total_network_flow,n_edges_with_flow,n_edges_total,flow_concentration
Laporte-H1,0.15558815020711836,0.03336813047787909,0.008109335783265174,0.04855426771931665,1.1345164362478892,28,34,0.5690883428329729
Laporte-H2A,0.14219378459086585,0.045078242334842464,0.047974573474422896,0.03254809437112361,2.7046945400905478,60,60,0.20321934243494755
Ahmed-GA-2L,0.21598527585362193,0.02744084253281888,0.009972049572422976,0.0440106293169485,1.4269238117065817,40,52,0.4993728443989769
Ahmed-GA-3L,0.11517652388048329,0.015534732151448655,0.0055462955939446145,0.02071867295596895,0.7456671432695354,43,48,0.39402297704092143
